"HITID","name","intro","gender","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"33NOQL7T9OE9BVUQ34SVXVERD3EZ81","许仙志","许仙：“不能再做拖累娘子的小白脸了，要做带给所有人幸福的小白脸之王。”  ————————————————  将人兽进行到底！哦不，是将人妖进行到底。  新书上传，《大圣传》，重新开始，不一样的仙侠之旅！","male","A2R2YZTSME1K3F","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:50:18 UTC"
"3MQKOF1EE23HYVLC9PJ4KJYA7S7WDE","花影重重","只想平安一生的世家女风初晨为了家族利益嫁了，  夫君恶名昭著，阴险狠辣。  婚后，  风流浪荡子摇身一变成了痴情种子，  无欲无求的小白兔则成了圈子中最有名的妒妇。  但往往真相都是掩盖在波涛汹涌之下的——  经验告诉我们，  身为美女固然很好，  但如果无欲无求，  那就是一个巨大的错误。  ——*——群号：100915606敲门砖：几本书中任一主角名","female","A8TIL9U6YHG5","女性读者","A1X94LTZZQMHTP","男性读者","No","no_agreement","2018-02-04 21:00:27 UTC"
"38O9DZ0A622W168QLIMJQ68TMZQ62F","贵妇","一念起，万水千山；一念灭，沧海桑田。  在棺材里醒过来的那一瞬，叶楠夕看了足以影响她以后所有选择的一幕。  她从未见过一个男人能将那么多情的一句话，以如此无情的方式说出来。  因此，在面临自己将重回夫家大宅的时候，她毫不犹豫地选择了拒绝，然而鱼死网破亦非她所愿……  .  已完结书《名门喜事》《荣华归》《良缘到》《美人凶猛》  Q群：243917571进群的同学请说出任一角色名^^","female","A3GLMBZSG3VU4P","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:45:59 UTC"
"388FBO7JZR8U9C7PDKFV1LVKW49YNX","天骄无双","神奇的大门即将开启！新的世界就在眼前！  魔法，秘宝，海战，炼金术……生存的丛林之中，全能才是王道！  一场事先张扬的穿越事件！  一场化蝶重生的涅槃蜕变！  热血疆域！与你！不战！不休！  “永远都没有绝路！永远都有选择！永远都有希望！”","male","A8TIL9U6YHG5","女性读者","A3GLMBZSG3VU4P","男、女读者都可以","No","no_agreement","2018-02-04 21:51:53 UTC"
"3IV1AEQ4DRSJBGPMLIP991Q1U528JQ","丹凤朝阳","本文又可以叫做：从宫女到皇后。  这句话，其实就可以算做内容简介了，好短小精悍啊～～  那一幕，过了许多年，还常常出现在梦里。  含薰一路朝最高的地方奔去，凤冠，红衣，象被大风吹散了一样纷纷落下，露出里面的白衣。  潮生奋力地喊了一声，她都不知道自己喊了一句什么。  含薰在露台边停下，转过头来看了一眼，朝她笑了笑。就象刚进宫那时候一样，温柔似春水的笑容。  她向前跃了出去，衣裙在半空中飘散开来，象一朵盛开的花。  这花只开了一刹那。","female","A8TIL9U6YHG5","女性读者","A1X94LTZZQMHTP","男性读者","No","no_agreement","2018-02-04 20:58:06 UTC"
"3VGET1QSZ0E1HMK2ICGIKROELH4W7L","女帝直播攻略","前世，姜芃姬是人类联邦军团上将，真正的人生赢家。  今生，她变成了普通的古代贵女，凄凄惨惨戚戚。  外有不安好心的系统，内有算计她的魑魅魍魉。  系统要她宫斗当皇后，她偏要逐鹿天下当女帝。  圈地盘、募私兵、纳贤士、建城池、打天下！  哦，最后还有睡美男——  美男：啥？excuse me？  #女帝进化日记#  #未来上将在古代的诸侯争霸之路#  #直播，从一介白身到九五至尊#  问：不得不宫斗，但又不想宫斗怎么办？  答：干死皇帝，自己当皇帝，宫斗见鬼去吧。","female","A2NJTYYY37DNO","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:06:48 UTC"
"3VDI8GSXAF89KEZLDC46COYL2DL8GM","大当家","简介：  一击毙命是她的毕生追求。  快、狠、准是她的行事原则。  但向来缺少运气的她，才凭借实力成为赫赫有名的传奇杀手，就遭遇了乌龙弹。  死前的愿望令她重生于异世古代，却是一名待嫁的“名门闺秀”，而她遭遇的婚姻生活却充满了尴尬与阴谋的味道。  没有历史可做先知，没有厨艺可以傍身，更无医术名满天下，所以……  请看只会杀人的她如何顶着不良主母的别号成为名震异世的大当家！  －琴儿已有完结书：《夺宫》，《宫心为上》，《孽舞》，《谋宫》。  本书求推荐票粉红票，日更最低7千字，坑品保证！请大家多多支持哦！谢谢！","female","A8TIL9U6YHG5","女性读者","A2NJTYYY37DNO","男性读者","No","no_agreement","2018-02-04 21:09:16 UTC"
"36FQTHX3Z36RS0L4L9HWKWZD6E1B3G","修炼狂潮","这是一个科学与武道并重的时代，大灾变之后，人类发现了超古代修炼文明，开启了一个大修炼时代，并开始了昆仑界的殖民之路！  这是一个人类危机重重，同时也是一个热血沸腾的，强者辈出的时代！  得到了超古代文明强者丹皇传承以及九重天之上至尊神格的楚云凡，将如何在这样一个时代杀出一条登天路。  天才？不好意思，我才是！资源？我的丹药能堆死你！  传承？至尊的传承就在我的脑海里！我们的征途是无尽位面！  啸尘在《飞升大荒》，《武神空间》之后呕心沥血的第三本玄幻，这是一个全新的时代，也是一个大修炼时代！  ——  普通群：497326944 入群请自觉改好马甲  VIP群：463696926（学徒以上可进），进群改马甲，晒订阅截图！","male","A8TIL9U6YHG5","女性读者","A3GLMBZSG3VU4P","男性读者","No","no_agreement","2018-02-04 21:01:35 UTC"
"338431Z1FLU3UWVF04NE8E2SJRZOR0","异世之魔兽庄园","身娇体软易推倒——俺有一个LOLI的外表；  死前宅了三十年——俺有一颗腐女的心；  魔兽森林小泰山——俺有一身灭龙的暴力；  一不小心得罪了森林小土著，于是，俺披着LOLI的皮，揣着腐女的心，紧握灭龙的暴力，被空运到帝都，在无意识的情况下，用纯洁（？！）的小电波祸害帝都美少年们；  啥～，你要爬俺家的墙？你确定？好吧，请——  魔兽庄园的墙不是勒么好翻滴，小心被奔腾的兽兽们踩成一坨【哔——】啊嗷嗷嗷嗷～  【虎妞的窝：112584839，欢迎各位亲来勾搭某妞ING～】  【上本完结文：《以来自远方之名》，二十一世纪普通小女人杯具又餐具的大地之母成长之旅～！】  【一群：一一二五八四八三九１１２５８４８３９（已满）  二群：二五四一零三六六四２５４１０３６６４】","female","A8TIL9U6YHG5","女性读者","A1X94LTZZQMHTP","男性读者","No","no_agreement","2018-02-04 21:05:26 UTC"
"3LB1BGHFL2BS4PC9AG17AK1CLMVTYT","大盗贼","没炒过股，没买过彩票，官道商场一窍不通，陆离发现自己唯一能做的就是玩游戏。  好在他是个重生者，凡事都能抢先一步。  好在这个时代的游戏产业极度发达，玩游戏玩成富一代的不计其数。  前世，多少个无眠的夜晚，悔恨啃噬心灵。  现在虽然依旧一贫如洗，可那又如何……  这一世注定强势逆袭，站到职业最巅峰！  书友群：439140772（VIP粉丝群，全订验证，作者君在这里欢迎大家）       437959140（普通群，进入无限制）  PS：谨以此书，纪念这些年一起走过的魔兽世界，纪念这些年一起翻阅的网游小说。","male","A2NJTYYY37DNO","女性读者","A8TIL9U6YHG5","女性读者","Yes","女性读者","2018-02-04 21:00:06 UTC"
